"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1619","Login Fallido-campos vacios","webkit","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","955","Login Fallido","chromium","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","1834","verificar cantidad de productos","chromium","2026-05-16","passed","2026-05-16","","ui\inventory.spec.ts","",""
"","239","POST crear usuario","firefox","2026-05-16","passed","2026-05-16","Reqres API > POST,PUT,DELETE","apis\reqres.spec.ts","",""
"","5090","verificar cantidad de productos","firefox","2026-05-16","passed","2026-05-16","","ui\inventory.spec.ts","",""
"","257","POST con ceredenciales incorrectas","chromium","2026-05-16","passed","2026-05-16","Authentication","apis\reqres.spec.ts","",""
"","3079","logout","webkit","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","1004","Login Fallido-campos vacios","chromium","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","274","POST login y obtener token","chromium","2026-05-16","passed","2026-05-16","Authentication","apis\reqres.spec.ts","",""
"","152","POST con ceredenciales incorrectas","firefox","2026-05-16","passed","2026-05-16","Authentication","apis\reqres.spec.ts","",""
"","370","GET usuario que no existe","chromium","2026-05-16","passed","2026-05-16","Reqres API > Get USuarios","apis\reqres.spec.ts","",""
"","394","GET usuario especifico","chromium","2026-05-16","passed","2026-05-16","Reqres API > Get USuarios","apis\reqres.spec.ts","",""
"","897","Login Exitoso","chromium","2026-05-16","passed","2026-05-16","Login-Sauce demo","ui\saucedemo.spec.ts","",""
"","174","GET usuario especifico","webkit","2026-05-16","passed","2026-05-16","Reqres API > Get USuarios","apis\reqres.spec.ts","",""
"","1882","agregar producto al carrito","chromium","2026-05-16","passed","2026-05-16","","ui\inventory.spec.ts","",""
"","298","crear usuario por API y verificar respuesta","chromium","2026-05-16","passed","2026-05-16","Mixed UI + API tests","ui\mixed.spec.ts","",""
"","2013","ver productos con login automatico","webkit","2026-05-16","passed","2026-05-16","","ui\inventory.spec.ts","",""
"","2840","login exitoso con datos externos","firefox","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","3564","Pedido Exitso","webkit","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","1594","Login Exitoso","webkit","2026-05-16","passed","2026-05-16","Login-Sauce demo","ui\saucedemo.spec.ts","",""
"","4277","Pedido Exitso","firefox","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","1462","login fallido con usuario bloqueado - datos externos","webkit","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","234","GET usuario que no existe","firefox","2026-05-16","passed","2026-05-16","Reqres API > Get USuarios","apis\reqres.spec.ts","",""
"","1062","redireccion correcta despues del login","chromium","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","2112","logout","chromium","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","2069","filter","webkit","2026-05-16","passed","2026-05-16","Flujo de compra en Saucedemo","ui\saucedemo.spec.ts","",""
"","1548","login exitoso con datos externos","webkit","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","991","login fallido con usuario invalido - datos externos","chromium","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","161","GET lista de usuarios","firefox","2026-05-16","passed","2026-05-16","Reqres API > Get USuarios","apis\reqres.spec.ts","",""
"","1710","ver productos con login automatico","chromium","2026-05-16","passed","2026-05-16","","ui\inventory.spec.ts","",""
"","2253","Login Fallido-campos vacios","firefox","2026-05-16","passed","2026-05-16","","ui\saucedemo.spec.ts","",""
"","143","DELETE eliminar usuario","webkit","2026-05-16","passed","2026-05-16","Reqres API > POST,PUT,DELETE","apis\reqres.spec.ts","",""
